id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon
7235.0,,Gyselstraat ,41.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Gyselstraat , 9100 Sint-niklaas, Oost-vlaanderen",51.1964656,4.1728506
7237.0,,Boulevard d avroy ,,4000,Liège,Liège,,,,,"Boulevard d avroy , 4000 Liège, Liège",50.6353953,5.5676214
7238.0,,Strandweg ,6.0,2275,Lille,Antwerpen,,,,,"Strandweg , 2275 Lille, Antwerpen",51.28223,4.84703
7239.0,,Kattenbroek ,35.0,2650,Edegem,Antwerpen,,,,,"Kattenbroek , 2650 Edegem, Antwerpen",51.14917,4.42853
7240.0,,Tennislaan,16.0,3600,Genk,Limburg,,,,,"Tennislaan, 3600 Genk, Limburg",50.9703065,5.4742094
7241.0,,Zagerijstraat ,42.0,3600,Genk,Limburg,,,,,"Zagerijstraat , 3600 Genk, Limburg",50.9714983,5.5173464
7242.0,,Kempische ardennen ,8.0,2260,Westerlo,Antwerpen,,,,,"Kempische ardennen , 2260 Westerlo, Antwerpen",51.0835662,4.8203703
7243.0,,Pachtgoedstraat ,10.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Pachtgoedstraat , 9100 Sint-niklaas, Oost-vlaanderen",51.1468834,4.1893276
7244.0,,Europapark,32.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Europapark, 9100 Sint-niklaas, Oost-vlaanderen",51.1682691,4.1668083
7245.0,,Hezewijk,7.0,2250,Olen,Antwerpen,,,,,"Hezewijk, 2250 Olen, Antwerpen",51.1512665,4.8461745
7246.0,,J.b vinkstraat,3.0,3070,Kortenberg,Vlaams-brabant,,,,,"J.b vinkstraat, 3070 Kortenberg, Vlaams-brabant",50.9568296,4.665201
7247.0,,Dellestraat,57.0,3550,Heusden-zolder,Limburg,,,,,"Dellestraat, 3550 Heusden-zolder, Limburg",50.98805,5.24007
7248.0,,Baron de gruben ,3.0,2110,Wijnegem,Antwerpen,,,,,"Baron de gruben , 2110 Wijnegem, Antwerpen",51.2334311,4.5270315
7249.0,,Gotevlietstraat,94.0,8000,Brugge,West-vlaanderen,,,,,"Gotevlietstraat, 8000 Brugge, West-vlaanderen",51.2607633,3.205521
7250.0,,Europapark oost ,32.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Europapark oost , 9100 Sint-niklaas, Oost-vlaanderen",51.1617193,4.1745266
7251.0,,Noordkaai ,9.0,8870,Izegem,West-vlaanderen,,,,,"Noordkaai , 8870 Izegem, West-vlaanderen",50.9277324,3.1934508
7252.0,,Eigenlostraat ,1.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Eigenlostraat , 9100 Sint-niklaas, Oost-vlaanderen",51.1491034,4.1853661
7253.0,,Klein mechelen ,18.0,2880,Bornem,Antwerpen,,,,,"Klein mechelen , 2880 Bornem, Antwerpen",51.0885392,4.2675025
7254.0,,Kappelestraat ,55.0,9220,Hamme,Oost-vlaanderen,,,,,"Kappelestraat , 9220 Hamme, Oost-vlaanderen",51.0962928,4.1412983
7255.0,,Eigenlostraat,5.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Eigenlostraat, 9100 Sint-niklaas, Oost-vlaanderen",51.1491034,4.1853661
7256.0,,Dellestraat,61.0,3550,Heusden-zolder,Limburg,,,,,"Dellestraat, 3550 Heusden-zolder, Limburg",50.98805,5.24007
7257.0,,Zanddijk ,62.0,2480,Dessel,Antwerpen,,,,,"Zanddijk , 2480 Dessel, Antwerpen",51.2590474,5.1397646
7258.0,,Albert biesemanslaan 5,5.0,1560,Hoeilaart,Vlaams-brabant,,,,,"Albert biesemanslaan 5, 1560 Hoeilaart, Vlaams-brabant",50.7680963,4.476020999999999
7259.0,,Melbergstraat 16,16.0,3600,Genk,Limburg,,,,,"Melbergstraat 16, 3600 Genk, Limburg",50.9535278,5.4854992
7260.0,,Lindedorp ,37.0,3990,Peer,Limburg,,,,,"Lindedorp , 3990 Peer, Limburg",51.0974845,5.4461748
7261.0,,Muntstraat ,10.0,3990,Peer,Limburg,,,,,"Muntstraat , 3990 Peer, Limburg",51.0860945,5.4659695
7262.0,,Zuidervest,,3990,Peer,Limburg,,,,,"Zuidervest, 3990 Peer, Limburg",51.1304578,5.4540234
7263.0,,Ouburg,63.0,9200,Oudegem,Oost-vlaanderen,,,,,"Ouburg, 9200 Oudegem, Oost-vlaanderen",51.005903,4.0610207
7264.0,,Keibergstraat,30.0,8480,Ichtegem,West-vlaanderen,,,,,"Keibergstraat, 8480 Ichtegem, West-vlaanderen",51.0890844,3.0271219
7265.0,,Eernegem-markt,1.0,8480,Ichtegem,West-vlaanderen,,,,,"Eernegem-markt, 8480 Ichtegem, West-vlaanderen",51.1298554,3.0264005
7266.0,,Kouterstraat ,6.0,8480,Bekegem,West-vlaanderen,,,,,"Kouterstraat , 8480 Bekegem, West-vlaanderen",51.1593435,3.0497762
7267.0,,Oostnieuwkerksesteenweg,121.0,8800,Roeselare,West-vlaanderen,,,,,"Oostnieuwkerksesteenweg, 8800 Roeselare, West-vlaanderen",50.9467376,3.099503
7268.0,,Kaaistraat ,23.0,9800,Deinze,Oost-vlaanderen,,,,,"Kaaistraat , 9800 Deinze, Oost-vlaanderen",50.983564,3.5281667
7269.0,,Nieuwstraat,91.0,9100,Sint-niklaas,Oost-vlaanderen,,,,,"Nieuwstraat, 9100 Sint-niklaas, Oost-vlaanderen",51.1621452,4.1367737
7270.0,,Erembodegem-dorp ,66.0,9320,Erembodegem,Oost-vlaanderen,,,,,"Erembodegem-dorp , 9320 Erembodegem, Oost-vlaanderen",50.9196436,4.0582551
7271.0,,Ternatsestraat,85.0,1790,Essene,Vlaams-brabant,,,,,"Ternatsestraat, 1790 Essene, Vlaams-brabant",50.8943404,4.1413338
7272.0,,Jaarbeurslaan ,6.0,3600,Genk,Limburg,,,,,"Jaarbeurslaan , 3600 Genk, Limburg",50.9642993,5.4830193
7273.0,,Tragel,60.0,9308,Hofstadeo.-vl.),Oost-vlaanderen,,,,,"Tragel, 9308 Hofstadeo.-vl.), Oost-vlaanderen",50.9534836,4.0368929
7274.0,,Tragel ,60.0,9308,Hofstadeo.-vl.),Oost-vlaanderen,,,,,"Tragel , 9308 Hofstadeo.-vl.), Oost-vlaanderen",50.9534836,4.0368929
7275.0,,Tragel,60.0,9308,Hofstadeo.-vl.),Oost-vlaanderen,,,,,"Tragel, 9308 Hofstadeo.-vl.), Oost-vlaanderen",50.9534836,4.0368929
7276.0,,Katelijnestraat,,9308,Hofstadeo.-vl.),Oost-vlaanderen,,,,,"Katelijnestraat, 9308 Hofstadeo.-vl.), Oost-vlaanderen",50.9692488,4.0414217
7277.0,,Karnemelkstraat,,9060,Zelzate,Oost-vlaanderen,,,,,"Karnemelkstraat, 9060 Zelzate, Oost-vlaanderen",51.2096472,3.8097881
