id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province,lon_mclp,lat_mclp,province_mclp
15822.0,Appareil fixe-Vast apparaat,Place du marché,1.0,6870,Saint hubert,Luxembourg,Hall d entrée au dessus de l imprimante,Oui-Ja,Non-Nee,,"Place du marché, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,50.869068,4.579278,Provincie Vlaams-Brabant,4.51192,50.72314,Provincie Waals-Brabant
15823.0,Appareil fixe-Vast apparaat,Place du marche,1.0,6870,Saint hubert,Luxembourg,Hall d entrée,Oui-Ja,Non-Nee,,"Place du marche, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,50.65279,5.623845,Provincie Luik,4.27522956002,50.837192142,Brussels Hoofdstedelijk Gewest
15824.0,Appareil fixe-Vast apparaat,Place du marché,1.0,6870,Saint hubert,Luxembourg,Hall d entrée,Oui-Ja,Non-Nee,,"Place du marché, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,49.66202,5.80697,Provincie Luxemburg,4.832525,50.838939,Provincie Vlaams-Brabant
15825.0,Appareil fixe-Vast apparaat,Place du marché ,1.0,6870,Saint hubert,Luxembourg,Entrepôt service travaux,Oui-Ja,Non-Nee,,"Place du marché , 6870 Saint hubert, Luxembourg",50.025494,5.3734277,50.026756666666664,4.153726666666667,Provincie Henegouwen,4.703125,51.075450000000004,Provincie Antwerpen
15826.0,Appareil fixe-Vast apparaat,Place du marché,1.0,6870,Saint hubert,Luxembourg,,Oui-Ja,Non-Nee,,"Place du marché, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,50.833526,3.2679658,Provincie West-Vlaanderen,3.119281,51.308532,Provincie West-Vlaanderen
15827.0,Appareil fixe-Vast apparaat,Place du marché,1.0,6870,Saint hubert,Luxembourg,,Oui-Ja,Non-Nee,,"Place du marché, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,50.883798,4.924491,Provincie Vlaams-Brabant,4.39289,51.207966,Provincie Antwerpen
15828.0,Appareil fixe-Vast apparaat,Place du marché,1.0,6870,Saint hubert,Luxembourg,,Oui-Ja,Non-Nee,,"Place du marché, 6870 Saint hubert, Luxembourg",50.025494,5.3734277,50.853867,3.640364,Provincie Oost-Vlaanderen,4.76574,51.4098,Provincie Antwerpen
15818.0,Appareil fixe-Vast apparaat,Place du marché ,1.0,6870,Saint hubert,Luxembourg,,Non-Nee,Oui-Ja,,"Place du marché , 6870 Saint hubert, Luxembourg",50.025494,5.3734277,51.19840766666667,3.1946808333333334,Provincie West-Vlaanderen,4.697150499999999,50.8941775,Provincie Vlaams-Brabant
15829.0,Appareil fixe-Vast apparaat,Rue sohet,21.0,4000,Liége,Liège,Couloir rez de chaussée ,Oui-Ja,Non-Nee,,"Rue sohet, 4000 Liége, Liège",50.627426,5.5670807,51.04622666666667,4.50661,Provincie Antwerpen,3.578202,51.063832,Provincie Oost-Vlaanderen
15830.0,Appareil fixe-Vast apparaat,Potiérue,5.0,4000,Liège,Liège,Acceuil,Oui-Ja,Non-Nee,,"Potiérue, 4000 Liège, Liège",50.6459748,5.57857,51.07547228571429,3.705374428571429,Provincie Oost-Vlaanderen,4.3259,50.78347333333334,Brussels Hoofdstedelijk Gewest
15831.0,Appareil fixe-Vast apparaat,Potiérue,5.0,4000,Liege,Liège,Rez de chaussée - Local de soins ,Oui-Ja,Non-Nee,,"Potiérue, 4000 Liege, Liège",50.6459748,5.57857,50.67,5.67327,Provincie Luik,4.354755333333333,50.906351,Provincie Vlaams-Brabant
