id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
7284.0,,Lilsedijk ,19.0,2340,Beerse,Antwerpen,,,,,"Lilsedijk , 2340 Beerse, Antwerpen",51.3000202,4.8392918,50.86693954333333,4.3137150757,Brussels Hoofdstedelijk Gewest
7322.0,,Klöcknerstraat ,1.0,3930,Hamont-achel,Limburg,,,,,"Klöcknerstraat , 3930 Hamont-achel, Limburg",51.246237,5.522046,50.8907714402,4.38432643636,Brussels Hoofdstedelijk Gewest
7380.0,,Steenweg op mol,3.0,2360,Oud-turnhout,Antwerpen,,,,,"Steenweg op mol, 2360 Oud-turnhout, Antwerpen",51.3099884,5.0021463,50.83834867316667,4.308991344733333,Brussels Hoofdstedelijk Gewest
7382.0,,Opperstraat,21.0,1770,Liedekerke,Vlaams-brabant,,,,,"Opperstraat, 1770 Liedekerke, Vlaams-brabant",50.8688954,4.0900848,50.8263835735,4.4174284767500005,Brussels Hoofdstedelijk Gewest
7419.0,,Marie curiestraat,24.0,3920,Lommel,Limburg,,,,,"Marie curiestraat, 3920 Lommel, Limburg",51.2161123,5.2829374,50.8383075,4.4448725,Brussels Hoofdstedelijk Gewest
7440.0,,Noorderlaan ,614.0,2030,Antwerpen,Antwerpen,,,,,"Noorderlaan , 2030 Antwerpen, Antwerpen",51.2697864,4.3766281,50.855473421666666,4.4060803463,Brussels Hoofdstedelijk Gewest
7466.0,,Raadsherenstraat ,2.0,2300,Turnhout,Antwerpen,,,,,"Raadsherenstraat , 2300 Turnhout, Antwerpen",51.305315,4.9155114,50.812822,4.334662,Brussels Hoofdstedelijk Gewest
7523.0,,Kruisveld,30.0,1840,Londerzeel,Vlaams-brabant,,,,,"Kruisveld, 1840 Londerzeel, Vlaams-brabant",51.0111946,4.2925898,50.874070335,4.3962430084,Brussels Hoofdstedelijk Gewest
7532.0,,Rue de la barrière ,37.0,7011,Ghlin,Hainaut,,,,,"Rue de la barrière , 7011 Ghlin, Hainaut",50.46551,3.91039,50.82052923,4.285369461966667,Brussels Hoofdstedelijk Gewest
7536.0,,Rue de la clef,41.0,4650,Herve,Liège,,,,,"Rue de la clef, 4650 Herve, Liège",50.6382689,5.7861455,50.86864,4.326036666666666,Brussels Hoofdstedelijk Gewest
