id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
16524.0,Appareil fixe-Vast apparaat,Graaf reusensdreef,1.0,2930,Brasschaat,Antwerpen,Aan de hoofdingang tussen het ijzeren hek en de voordeur rechts tegen de muur,Oui-Ja,Oui-Ja,,"Graaf reusensdreef, 2930 Brasschaat, Antwerpen",51.2883425,4.4942671,51.19459,4.41388,Provincie Antwerpen
16525.0,Appareil fixe-Vast apparaat,Kluisstraat,25.0,3550,Heusden-zolder,Limburg,Voetbalclub Bolderberg FC (gang secretariaat),Non-Nee,Non-Nee,,"Kluisstraat, 3550 Heusden-zolder, Limburg",50.9938034,5.2842202,50.43216,3.83796,Provincie Henegouwen
16526.0,Appareil fixe-Vast apparaat,Koningsstraat ,138.0,1000,Brussel,Bruxelles-brussel,Gelijkvloerse verdieping aan het onthaal,Oui-Ja,Non-Nee,8u - 17u,"Koningsstraat , 1000 Brussel, Bruxelles-brussel",50.8503534,4.3641739,50.841364,3.162718,Provincie West-Vlaanderen
16527.0,Appareil fixe-Vast apparaat,Kapelsesteenweg,74.0,2930,Brasschaat,Antwerpen,Kleedkamer scheidsrechters Voetbalvereniging OSSMI,Non-Nee,,,"Kapelsesteenweg, 2930 Brasschaat, Antwerpen",51.2810918,4.4521256,50.66512,4.60468,Provincie Waals-Brabant
16528.0,Appareil fixe-Vast apparaat,Rue de meuse,9.0,4520,Wanze,Liège, ,Oui-Ja,Non-Nee,,"Rue de meuse, 4520 Wanze, Liège",50.52724,5.20023,50.829937,4.725702,Provincie Vlaams-Brabant
16529.0,Appareil fixe-Vast apparaat,Rue de meuse,9.0,4520,Wanze,Liège, ,Oui-Ja,Non-Nee,,"Rue de meuse, 4520 Wanze, Liège",50.52724,5.20023,51.05178,3.756939,Provincie Oost-Vlaanderen
16530.0,Appareil fixe-Vast apparaat,Turnhoutsebaan,261.0,2110,Wijnegem,Antwerpen, ,Oui-Ja,Non-Nee,,"Turnhoutsebaan, 2110 Wijnegem, Antwerpen",51.2261354,4.5136387,50.34612,5.48596,Provincie Luxemburg
16531.0,Appareil fixe-Vast apparaat,Rue jean sonet ,21.0,5032,Isnes,Namur, ,Oui-Ja,Non-Nee,,"Rue jean sonet , 5032 Isnes, Namur",50.5039559,4.7129513,50.39268333333333,4.405926666666667,Provincie Henegouwen
16532.0,Appareil fixe-Vast apparaat,Rustoordlei ,92.0,2930,Brasschaat,Antwerpen,"Gebouw van de kleedkamers, technische ruimte",Non-Nee,Oui-Ja,,"Rustoordlei , 2930 Brasschaat, Antwerpen",51.3005299,4.4730292,51.11992,3.721875,Provincie Oost-Vlaanderen
16533.0,Appareil fixe-Vast apparaat,Rue de mousiter,8.0,7050,Jurbise,Hainaut, ,Oui-Ja,Non-Nee,,"Rue de mousiter, 7050 Jurbise, Hainaut",50.5330477,3.906499,51.154398,3.231686,Provincie West-Vlaanderen
16534.0,Appareil fixe-Vast apparaat,Rue saint martin,45.0,6860,Leglise,Luxembourg, ,Oui-Ja,Non-Nee,,"Rue saint martin, 6860 Leglise, Luxembourg",49.8514204,5.537372,50.68556,3.26081,Provincie Henegouwen
16535.0,Appareil fixe-Vast apparaat,Westendelaan ,96.0,8430,Middelkerke,West-vlaanderen,Sportpark - Petanque club,Oui-Ja,Oui-Ja,,"Westendelaan , 8430 Middelkerke, West-vlaanderen",51.1734614,2.7969371,50.775928,3.882438,Provincie Oost-Vlaanderen
